Bitonic Sort,,,,,,,,,,,,
,3PC,,,,,,4PC,,,,,
,LAN,,,WAN,,,LAN,,,WAN,,
Query,TVA,US,SpeedUp,TVA,US,SpeedUp,TVA,US,SpeedUp,TVA,US,SpeedUp
Energy,165.673,99.6,1.7,571.944,306.3,1.9,313.94,212.4,1.5,1452.53,1724.8,0.8
mHealth,377.795,139.1,2.7,1235.02,465.2,2.7,710.82,321.4,2.2,3186.44,1695.1,1.9
Scheduling,370.012,142.2,2.6,1235.17,473.3,2.6,700.953,338.0,2.1,"3,176.93",1645.5,1.9
