Network,Query,Threads,Ours
LAN,RCA,1,53.2486
LAN,RCA,2,27.207
LAN,RCA,4,13.9086
LAN,RCA,8,7.81853
LAN,RCA,16,4.50219
LAN,RCA,32,3.2913
LAN,PPA,1,186.179
LAN,PPA,2,112.062
LAN,PPA,4,55.0056
LAN,PPA,8,33.2117
LAN,PPA,16,22.0486
LAN,PPA,32,17.7747






